,mindate,maxdate,name,id
188,2010-01-01,2010-01-01,60% probability date of last 20F occurrence or later,ANN-TMIN-PRBLST-T20FP60
189,2010-01-01,2010-01-01,70% probability date of last 20F occurrence or later,ANN-TMIN-PRBLST-T20FP70
190,2010-01-01,2010-01-01,80% probability date of last 20F occurrence or later,ANN-TMIN-PRBLST-T20FP80
191,2010-01-01,2010-01-01,90% probability date of last 20F occurrence or later,ANN-TMIN-PRBLST-T20FP90
192,2010-01-01,2010-01-01,10% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP10
193,2010-01-01,2010-01-01,20% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP20
194,2010-01-01,2010-01-01,30% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP30
195,2010-01-01,2010-01-01,40% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP40
196,2010-01-01,2010-01-01,50% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP50
197,2010-01-01,2010-01-01,60% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP60
198,2010-01-01,2010-01-01,70% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP70
199,2010-01-01,2010-01-01,80% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP80
200,2010-01-01,2010-01-01,90% probability date of last 24F occurrence or later,ANN-TMIN-PRBLST-T24FP90
201,2010-01-01,2010-01-01,10% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP10
202,2010-01-01,2010-01-01,20% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP20
203,2010-01-01,2010-01-01,30% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP30
204,2010-01-01,2010-01-01,40% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP40
205,2010-01-01,2010-01-01,50% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP50
206,2010-01-01,2010-01-01,60% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP60
207,2010-01-01,2010-01-01,70% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP70
208,2010-01-01,2010-01-01,80% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP80
209,2010-01-01,2010-01-01,90% probability date of last 28F occurrence or later,ANN-TMIN-PRBLST-T28FP90
210,2010-01-01,2010-01-01,10% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP10
211,2010-01-01,2010-01-01,20% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP20
212,2010-01-01,2010-01-01,30% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP30
213,2010-01-01,2010-01-01,40% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP40
214,2010-01-01,2010-01-01,50% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP50
215,2010-01-01,2010-01-01,60% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP60
216,2010-01-01,2010-01-01,70% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP70
217,2010-01-01,2010-01-01,80% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP80
218,2010-01-01,2010-01-01,90% probability date of last 32F occurrence or later,ANN-TMIN-PRBLST-T32FP90
219,2010-01-01,2010-01-01,10% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP10
220,2010-01-01,2010-01-01,20% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP20
221,2010-01-01,2010-01-01,30% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP30
222,2010-01-01,2010-01-01,40% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP40
223,2010-01-01,2010-01-01,50% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP50
224,2010-01-01,2010-01-01,60% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP60
225,2010-01-01,2010-01-01,70% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP70
226,2010-01-01,2010-01-01,80% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP80
227,2010-01-01,2010-01-01,90% probability date of last 36F occurrence or later,ANN-TMIN-PRBLST-T36FP90
228,2010-01-01,2010-01-01,probability of 16F or below at least once in the year,ANN-TMIN-PRBOCC-LSTH016
229,2010-01-01,2010-01-01,probability of 20F or below at least once in the year,ANN-TMIN-PRBOCC-LSTH020
230,2010-01-01,2010-01-01,probability of 24F or below at least once in the year,ANN-TMIN-PRBOCC-LSTH024
231,2010-01-01,2010-01-01,probability of 28F or below at least once in the year,ANN-TMIN-PRBOCC-LSTH028
232,2010-01-01,2010-01-01,probability of 32F or below at least once in the year,ANN-TMIN-PRBOCC-LSTH032
233,2010-01-01,2010-01-01,probability of 36F or below at least once in the year,ANN-TMIN-PRBOCC-LSTH036
234,1982-01-01,2021-03-07,Average wind speed,AWND
235,1763-01-01,2021-02-01,Cooling Degree Days Season to Date,CDSD
236,1763-01-01,2021-02-01,Cooling Degree Days,CLDD
237,2011-03-08,2021-03-07,Digital Accumulation Array(One Hour Precipitation total (256 levels) with Dual Pol. algorithm),DAA
238,1948-08-02,2012-07-23,Number of days included in the multiday evaporation total (MDEV),DAEV
239,1832-05-11,2021-03-08,Number of days included in the multiday precipitation total (MDPR),DAPR
240,1877-01-02,2020-03-17,Number of days included in the multiday snow fall total (MDSF) ,DASF
241,1863-05-04,2021-03-08,Number of days included in the multiday minimum temperature (MDTN),DATN
242,1863-05-04,2021-03-07,Number of days included in the multiday maximum temperature (MDTX),DATX
243,1935-09-23,2010-06-21,Number of days included in the multiday wind movement (MDWM),DAWM
244,1994-05-20,2021-03-07,Digital Hybrid Scan Reflectivity,DHR
245,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 45F,DJF-CLDD-BASE45
246,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 50F,DJF-CLDD-BASE50
247,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 55F,DJF-CLDD-BASE55
248,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 57F,DJF-CLDD-BASE57
249,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 60F,DJF-CLDD-BASE60
250,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 70F,DJF-CLDD-BASE70
251,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 72F,DJF-CLDD-BASE72
252,2010-01-01,2010-01-01,Long-term averages of winter cooling degree days with base 65F,DJF-CLDD-NORMAL
253,2010-01-01,2010-01-01,Long-term averages of winter diurnal temperature range,DJF-DUTR-NORMAL
254,2010-01-01,2010-01-01,Long-term averages of winter growing degree days with base 40F,DJF-GRDD-BASE40
255,2010-01-01,2010-01-01,Long-term averages of winter growing degree days with base 45F,DJF-GRDD-BASE45
256,2010-01-01,2010-01-01,Long-term averages of winter growing degree days with base 50F,DJF-GRDD-BASE50
257,2010-01-01,2010-01-01,Long-term averages of winter growing degree days with base 55F,DJF-GRDD-BASE55
